level_0,index,Address,Area,Broker,Broker_Company,Distance,New,Price,Price/m2,Rooms,Title,url,lon,lat,Street,StreetNumber,Neigh,City,Construction_Year,Type,Zip_Region,bathroom,Modernization,Precision
171,97,"Osloer Straße 114, Gesundbrunnen, Berlin",72.71,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,312.7,4.301,2 ,Modernisierte Altbauwohnung im ruhigen Seitenflügel,https://www.immobilienscout24.de/expose/113031812,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
170,95,"Osloer Straße 114, Gesundbrunnen, Berlin",61.2,Verkaufsteam,TRENDCITY GmbH,1.89,1.0,308.5,5.041,2 ,NEUModernisierte Eigentumswohnung in der Osloer Straße,https://www.immobilienscout24.de/expose/122921052,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Erdgeschosswohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
175,116,"Osloer Straße 114, Gesundbrunnen, Berlin",78.5,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,375.0,4.777,3 ,Modernisierte Altbauwohnung in zentraler Lage,https://www.immobilienscout24.de/expose/112094325,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
183,106,"Niederschönhausen, Berlin",109.0,Herr Drazan Tomic,Gross & Klein Immobilien GmbH,1.9,1.0,355.0,3.257,4 ,NEUSOLIDE VERMIETETE 4-Zi WOHNUNG MIT SÜDBALKON & GÄSTE-WC IN PANKOW,https://www.immobilienscout24.de/expose/123514851,13.401397,52.5858062,,,Niederschönhausen, Berlin,1994.0, Etagenwohnung ,"13156 Berlin, Niederschönhausen",1.0,,0.0
184,185,"Neptunstr.  8, Reinickendorf (Ortsteil), Berlin",146.0,Herr Valerij Gerber,IBA Immobilien GmbH,1.9,0.0,670.0,4.589,6 ,KAPITALANLAGE und PROVISIONSFREI - Wohnungspaket mit 2 Wohnungen,https://www.immobilienscout24.de/expose/121799638,13.3751223,52.5620168,Neptunstr. ,8, Reinickendorf (Ortsteil), Berlin,1996.0, Etagenwohnung ,"13409 Berlin-Reinickendorf, Reinickendorf (Ortsteil)",,,1.0
185,102,"Neptunstr.  8, Reinickendorf (Ortsteil), Berlin",73.0,Herr Valerij Gerber,IBA Immobilien GmbH,1.9,0.0,335.0,4.589,3 ,KAPITALANLAGE und PROVISIONSFREI - Vermietete ETW,https://www.immobilienscout24.de/expose/121799456,13.3751223,52.5620168,Neptunstr. ,8, Reinickendorf (Ortsteil), Berlin,1996.0, Etagenwohnung ,"13409 Berlin-Reinickendorf, Reinickendorf (Ortsteil)",1.0,,1.0
186,75,"Niederschönhausen, Berlin",89.0,Herr Drazan Tomic,Gross & Klein Immobilien GmbH,1.9,1.0,269.0,3.022,3 ,NEUVERMIETETE 3-Zi WOHNUNG IM HOCHPARTERRE MIT SÜDBALKON IN PANKOW,https://www.immobilienscout24.de/expose/123515337,13.401397,52.5858062,,,Niederschönhausen, Berlin,1994.0, Hochparterre ,"13156 Berlin, Niederschönhausen",1.0,,0.0
187,145,"Niederschönhausen, Berlin",110.26,Frau Peggy Matusch,"Peggy Matusch, V-V-S-Management",1.91,0.0,489.0,4.435,4 ,Traumhafter Gartenblick......,https://www.immobilienscout24.de/expose/121667822,13.401397,52.5858062,,,Niederschönhausen, Berlin,2000.0, Maisonette ,"13156 Berlin, Niederschönhausen",1.0,,0.0
197,65,"Osloer Str. 110, Gesundbrunnen, Berlin",64.3,Herr Thomas Röder,ACCENTRO GmbH,1.92,0.0,247.9,3.855,2 ,Vermietete Kapitalanlage in Berlin-Wedding!,https://www.immobilienscout24.de/expose/112553630,13.3847593,52.5555329,Osloer Str.,110, Gesundbrunnen, Berlin,1900.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
196,17,"Hausotterstraße 74, Reinickendorf (Ortsteil), Berlin",61.58,Herr Stefan Sauga,Stefan Sauga Immobilien UG (haftungsbeschränkt),1.92,0.0,169.0,2.744,3 ,Vermietete Hochparterre-3-Zimmerwohnung mit Balkon,https://www.immobilienscout24.de/expose/117368288,13.3717782,52.5682301,Hausotterstraße,74, Reinickendorf (Ortsteil), Berlin,1956.0, Erdgeschosswohnung ,"13409 Berlin, Reinickendorf (Ortsteil)",,,1.0
195,71,"Osloer Str. 110, Gesundbrunnen, Berlin",73.28,Herr Thomas Röder,ACCENTRO GmbH,1.92,0.0,259.9,3.547,2 ,Vermietete Wohnung mit Weitsicht im schönen Gesundbrunnen,https://www.immobilienscout24.de/expose/120964801,13.3847593,52.5555329,Osloer Str.,110, Gesundbrunnen, Berlin,1900.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
194,64,"Osloer Str. 110, Gesundbrunnen, Berlin",40.28,Herr Thomas Röder,ACCENTRO GmbH,1.92,0.0,247.9,6.154,"1,5 ",Herr Thomas RöderACCENTRO GmbH,https://www.immobilienscout24.de/expose/121042313,13.3847593,52.5555329,Osloer Str.,110, Gesundbrunnen, Berlin,1900.0, Terrassenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
193,105,"Pankow (Ortsteil), Berlin",65.0,WunderAgent Service Team,WunderAgent - SMART Invest,1.92,0.0,349.0,5.369,2 ,++Bezugsfreie Altbauwohnung in Berlin-Pankow,https://www.immobilienscout24.de/expose/120310213,13.4030903,52.5660169,,,Pankow (Ortsteil), Berlin,, Etagenwohnung ,"13189 Berlin, Pankow (Ortsteil)",1.0,,0.0
190,127,"Osloer Str. 110, Gesundbrunnen, Berlin",64.28,Herr Thomas Röder,ACCENTRO GmbH,1.92,0.0,396.9,6.175,2 ,"Ihre Eigentumswohnung in Top-Lage Nähe Gesundbrunnen, auch als Ferienwohnung nutzbar",https://www.immobilienscout24.de/expose/121042583,13.3847593,52.5555329,Osloer Str.,110, Gesundbrunnen, Berlin,1900.0, Terrassenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
